epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,295.763,1.06149,1.45493,0.39726,1.00758,1.22371,0.99573,0.99751,0.99442,0.8625,0.99643,0.9982,0.99466,0.94316,0.59889,0.27722,0.02568,1.25802,0.88423,0.00995745,0.00331915,0.00995745,0.00331915,0.00995745,0.00331915,0.00995745,0.00331915
2,581.49,0.76815,0.27632,0.0909,0.4129,0.9879,0.9915,0.99764,0.99413,0.84753,0.99219,0.99834,0.99427,0.95693,0.58797,0.2331,0.00742,2.52109,0.89491,0.0199081,0.00663602,0.0199081,0.00663602,0.0199081,0.00663602,0.0199081,0.00663602
3,867.13,0.75066,0.23695,0.05806,0.42422,1.01295,0.96848,0.99016,0.99099,0.80938,0.9697,0.99141,0.99143,0.9831,0.65996,0.11109,0.00699,5.47287,0.9602,0.0298092,0.00993639,0.0298092,0.00993639,0.0298092,0.00993639,0.0298092,0.00993639
4,1151.5,0.71461,0.18961,0.04645,0.40382,1.00748,0.989,0.99649,0.99313,0.86381,0.98968,0.99718,0.99335,0.99062,0.53782,0.09395,0.00161,1.62474,0.89039,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,1282.02,0.66541,0.15239,0.03697,0.37398,0.98798,0.9925,0.99598,0.99385,0.87576,0.99333,0.99681,0.99402,0.99278,0.52626,0.05062,0.00369,1.26229,0.88508,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,1382.97,0.63142,0.13414,0.03359,0.35005,0.97242,0.9946,0.9948,0.99398,0.88993,0.99543,0.99563,0.99412,0.99291,0.50374,0.05501,0.00259,1.00146,0.87462,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,1484.25,0.6212,0.1371,0.03177,0.33904,0.9707,0.99378,0.99566,0.9938,0.89563,0.99447,0.99635,0.994,0.99281,0.48192,0.04571,0.00367,0.94949,0.85761,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,1584.82,0.60353,0.12459,0.03062,0.32915,0.96299,0.99378,0.99709,0.99406,0.90641,0.99448,0.99778,0.99414,0.99338,0.468,0.04654,0.00274,1.04706,0.85079,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,1685.81,0.59825,0.11718,0.02922,0.32167,0.95884,0.99378,0.99711,0.99393,0.90665,0.99448,0.99785,0.99408,0.99333,0.47643,0.04837,0.00252,1.32163,0.8548,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,1786.41,0.57904,0.10616,0.0282,0.31035,0.9503,0.99488,0.99751,0.99401,0.91107,0.9958,0.99848,0.99427,0.99345,0.45122,0.03746,0.00217,0.99861,0.84348,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,1887.12,0.58431,0.11344,0.02703,0.3073,0.96002,0.99486,0.99792,0.99415,0.91047,0.99555,0.99861,0.99425,0.99342,0.44612,0.03633,0.00122,1.02752,0.84124,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,1987.76,0.57263,0.10593,0.02612,0.30139,0.95204,0.99489,0.99742,0.994,0.91396,0.99541,0.99806,0.9941,0.99339,0.4457,0.03781,0.00214,1.05834,0.84013,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,2088.54,0.56712,0.09628,0.02803,0.29942,0.94742,0.99693,0.99764,0.99453,0.92085,0.99762,0.99834,0.99463,0.99424,0.43719,0.03491,0.00184,0.72573,0.83715,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,2189.14,0.56694,0.10292,0.02477,0.29801,0.94411,0.99508,0.99737,0.99421,0.92242,0.99591,0.9982,0.99432,0.99384,0.43647,0.03626,0.00192,1.05822,0.83662,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,2290.38,0.55506,0.09479,0.02673,0.29104,0.9414,0.99546,0.99792,0.99436,0.92704,0.99627,0.99889,0.99448,0.99396,0.43067,0.03617,0.00177,1.04053,0.83406,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,2390.99,0.56097,0.10004,0.02635,0.29245,0.94453,0.9944,0.99737,0.99443,0.92314,0.9951,0.99806,0.99452,0.99403,0.4347,0.03587,0.00145,0.76882,0.83643,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,2491.24,0.56377,0.10203,0.02675,0.29348,0.9397,0.99585,0.99774,0.99419,0.92744,0.99668,0.99863,0.99429,0.99373,0.4199,0.03323,0.00182,0.80638,0.83135,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
